actor,country,month,n_l3_sents,n_docs
Institution,Institution,2022-02,8,8
Institution,Institution,2022-04,6,6
Institution,Institution,2022-07,5,2
Institution,Institution,2022-10,2,2
Institution,Institution,2022-11,2,2
Institution,Institution,2022-12,2,1
Institution,Institution,2023-01,9,1
Institution,Institution,2023-02,1,1
Institution,Institution,2023-03,1,1
Institution,Institution,2023-10,1,1
Institution,Institution,2024-01,1,1
Institution,Institution,2024-02,1,1
Institution,Institution,2024-04,2,1
State,Georgia,2022-02,2,2
State,Georgia,2022-04,5,5
State,Georgia,2022-08,1,1
State,Georgia,2022-09,1,1
State,Georgia,2022-11,2,2
State,Georgia,2023-03,1,1
State,Georgia,2023-09,4,3
State,Georgia,2023-10,1,1
State,Georgia,2023-12,1,1
State,Russia,2022-02,2,2
State,Russia,2022-03,3,3
State,Russia,2022-04,2,1
State,Russia,2022-05,1,1
State,Russia,2022-07,1,1
State,Russia,2022-08,1,1
State,Russia,2022-09,2,1
State,Russia,2022-10,6,3
State,Russia,2022-12,1,1
State,Russia,2023-01,1,1
State,Russia,2023-02,1,1
State,Russia,2023-03,11,1
State,Russia,2023-04,18,3
State,Russia,2023-05,1,1
State,Russia,2023-07,7,2
State,Russia,2023-12,1,1
State,Russia,2024-02,5,3
State,Russia,2024-08,1,1
State,Russia,2024-09,3,1
State,Russia,2024-12,3,2
State,Ukraine,2022-02,6,2
State,Ukraine,2022-03,7,7
State,Ukraine,2022-04,6,4
State,Ukraine,2022-05,4,4
State,Ukraine,2022-06,5,3
State,Ukraine,2022-07,4,3
State,Ukraine,2022-08,14,10
State,Ukraine,2022-09,2,1
State,Ukraine,2022-10,14,6
State,Ukraine,2022-11,2,2
State,Ukraine,2022-12,7,6
State,Ukraine,2023-01,4,2
State,Ukraine,2023-02,6,5
State,Ukraine,2023-03,3,3
State,Ukraine,2023-05,3,3
State,Ukraine,2023-07,4,4
State,Ukraine,2023-08,2,2
State,Ukraine,2023-09,6,3
State,Ukraine,2023-10,1,1
State,Ukraine,2023-11,2,2
State,Ukraine,2024-01,1,1
State,Ukraine,2024-02,4,4
State,Ukraine,2024-03,2,2
State,Ukraine,2024-04,2,2
State,Ukraine,2024-05,2,2
State,Ukraine,2024-06,3,2
State,Ukraine,2024-08,3,2
State,Ukraine,2024-09,2,2
State,Ukraine,2024-10,1,1
State,Ukraine,2024-11,7,3
State,Ukraine,2024-12,2,2
